NM_MUNICIPIO_PROPRIEDADE;SG_UF_PROPRIEDADE;NM_CULTURA_GLOBAL;NR_AREA_TOTAL;NR_PRODUTIVIDADE_ESTIMADA;NR_PRODUTIVIDADE_SEGURADA;NivelDeCobertura;VL_LIMITE_GARANTIA;VL_PREMIO_LIQUIDO;PE_TAXA;VL_SUBVENCAO_FEDERAL;ANO_APOLICE;CD_GEOCMU;VALOR_INDENIZAÇÃO;EVENTO_PREPONDERANTE
Mercedes;PR;Soja;33;2598,6;1429,23;0,55;23243,34;722,34;0,0311;361,17;2006;4115853;65053,96; GEADA
Pilar do Sul;SP;Feijão;12;2500;2500;1,00;26620;931,67;0,0350;559;2006;3537909;886,09; GRANIZO
Marechal Cândido Rondon;PR;Soja;24;2724,6;1498,2;0,55;14504,33;468,38;0,0323;234,19;2006;4114609;19351,51; GEADA
Toledo;PR;Soja;12;3000;1650;0,55;9583,2;297,82;0,0311;148,91;2006;4127700;25600,59; GEADA
Marechal Cândido Rondon;PR;Soja;19;2724,6;1498,2;0,55;3665,24;424,68;0,1159;212,34;2006;4114609;29887,00; GEADA
Quatro Pontes;PR;Soja;12;3000;1650;0,55;7986;257,89;0,0323;128,95;2006;4120853;10355,42; GEADA
Toledo;PR;Soja;20;3000;1650;0,55;15840;492,26;0,0311;246,13;2006;4127700;51121,53; GEADA
Toledo;PR;Soja;20;3000;1650;0,55;15840;492,26;0,0311;246,13;2006;4127700;39692,35; GEADA
Mercedes;PR;Soja;19;2598,6;1429,2;0,55;11068,26;357,42;0,0323;178,71;2006;4115853;36158,94; GEADA
Marechal Cândido Rondon;PR;Soja;50;2724,6;1498,2;0,55;35961,16;1117,57;0,0311;558,79;2006;4114609;29136,80; GEADA
Toledo;PR;Soja;29;3000;1650;0,55;19166,4;618,94;0,0323;309,47;2006;4127700;98975,00; GEADA
Marechal Cândido Rondon;PR;Soja;15;2724,6;1498,2;0,55;9427,82;304,45;0,0323;152,23;2006;4114609;27080,73; GEADA
Quatro Pontes;PR;Soja;43;3000;1650;0,55;28749,6;928,4;0,0323;464,2;2006;4120853;14219,28; GEADA
Marechal Cândido Rondon;PR;Soja;12;2724,6;1498,2;0,55;7252,17;234,19;0,0323;117,1;2006;4114609;24583,70; GEADA
Mercedes;PR;Soja;55;2598,6;1429,2;0,55;37732,69;1172,62;0,0311;586,31;2006;4115853;15246,00; GEADA
Fagundes Varela;RS;Uva;5;11250;11250;1,00;38160;1395,37;0,0366;837,22;2010;4307864;4584,06; GRANIZO
Flores da Cunha;RS;Uva;3;20000;20000;1,00;39600;1448,03;0,0366;868,82;2010;4308201;38,28; GRANIZO
Ipê;RS;Maçã;2;20000;20000;1,00;25000;2447,48;0,0979;1468,49;2010;4310439;742,00; GRANIZO
Fagundes Varela;RS;Uva;1;22000;22000;1,00;34848;774,25;0,0222;464,55;2010;4307864;3168,00; GRANIZO
Protásio Alves;RS;Maçã;5;28750;28750;1,00;121850;7331,71;0,0602;4399,03;2010;4315172;3494,40; GRANIZO
Candido Mota;SP;Milho 2ª safra;23;3300;1320;0,40;12686,85;2220,2;0,1750;1554,14;2011;3510005;5305,41; GEADA
São Miguel Arcanjo;SP;Uva;2;20000;20000;1,00;25760;3289,8;0,1277;1973,88;2010;3550209;16539,23; GRANIZO
Farroupilha;RS;Uva;2;8000;8000;1,00;10000;397;0,0397;238,2;2010;4307906;405,00; GRANIZO
Cotiporã;RS;Uva;3;13333,33;13333,33;1,00;41832;1529,64;0,0366;917,78;2010;4305959;1357,92; GRANIZO
Garibaldi;RS;Uva;3;20000;20000;1,00;39800;1580,06;0,0397;948,04;2010;4308607;132,46; GRANIZO
Santa Tereza;RS;Uva;1;15562,5;15562,5;1,00;26550;970,83;0,0366;582,5;2010;4317251;146,52; GRANIZO
Platina;SP;Milho 2ª safra;99;3300;1485;0,45;54025,29;9454,43;0,1750;6618,1;2011;3539707;14341,26; GEADA
Campos Novos Paulista;SP;Milho 2ª safra;31;3253,2;1789,2;0,55;20640,56;3612,1;0,1750;2528,47;2011;3509809;10949,34; GEADA
Garibaldi;RS;Uva;2;24000;24000;1,00;35750;1419,27;0,0397;851,56;2010;4308607;1440,85; GRANIZO
São Joaquim;SC;Maçã;3;55000;55000;1,00;101200;10419,46;0,1030;6251,68;2010;4216503;10209,23; GRANIZO
Antônio Prado;RS;Uva;6;20000;20000;1,00;105600;3861,43;0,0366;2316,86;2010;4300802;10683,10; GRANIZO
Pilar do Sul;SP;Ameixa;4;30000;30000;1,00;79920;11041,74;0,1382;6625,04;2010;3537909;31568,40; GRANIZO
Monte Alegre dos Campos;RS;Uva;1;20000;20000;1,00;52920;1377,48;0,0260;826,49;2010;4312377;2842,00; GRANIZO
Toledo;PR;Soja;65;3240;2106;0,65;102077,82;4758,02;0,0466;2379,01;2010;4127700;9350,64; GRANIZO
Monte Alegre dos Campos;RS;Uva;1;16000;16000;1,00;9600;381,12;0,0397;228,67;2010;4312377;1699,20; GRANIZO
Vacaria;RS;Maçã;14;40000;40000;1,00;382480;35971,88;0,0940;21583,13;2010;4322509;134405,25; GRANIZO
Fagundes Varela;RS;Uva;5;30750;30750;1,00;97758;3574,65;0,0366;2144,79;2010;4307864;1219,99; GRANIZO
Veranópolis;RS;Uva;3;10000;10000;1,00;19020;695,49;0,0366;417,29;2010;4322806;725,58; GRANIZO
São José dos Ausentes;RS;Maçã;55;50000;50000;1,00;1396175;76635,26;0,0549;45981,16;2010;4318622;322189,89; GRANIZO
Bento Gonçalves;RS;Uva;5;20000;20000;1,00;55000;2183,48;0,0397;1310,09;2010;4302105;69,00; GRANIZO
Assis Chateaubriand;PR;Milho 2ª safra;60;3600;1980;0,55;35937;6288,98;0,1750;4402,29;2011;4102000;5989,50; GEADA
São Marcos;RS;Uva;1;21000;21000;1,00;22228;882,44;0,0397;529,46;2010;4319000;12807,97; GRANIZO
São Marcos;RS;Uva;4;28333,33;28333,33;1,00;63750;2530,84;0,0397;1518,5;2010;4319000;29895,00; GRANIZO
Pilar do Sul;SP;Caqui;9;32500;32500;1,00;267120;30157,84;0,1129;18094,7;2010;3537909;181641,60; GRANIZO
São Miguel Arcanjo;SP;Caqui;5;30000;30000;1,00;194955;22010,43;0,1129;13206,26;2010;3550209;75681,19; GRANIZO
São Marcos;RS;Uva;6;22500;22500;1,00;91710;3353,49;0,0366;2012,09;2010;4319000;19664,79; GRANIZO
São Marcos;RS;Uva;0;22500;22500;1,00;9990;396,6;0,0397;237,96;2010;4319000;3877,88; GRANIZO
Capão Bonito;SP;Feijão;217;4000;4000;1,00;655500;24187,95;0,0369;16931,57;2010;3510203;199799,40; GRANIZO
São Marcos;RS;Uva;2;21000;21000;1,00;34408;1321,25;0,0384;792,75;2010;4319000;11316,18; GRANIZO
Caxias do Sul;RS;Maçã;7;20500;20500;1,00;93387;8300,15;0,0889;4980,09;2010;4305108;9930,97; GRANIZO
Caçador;SC;Maçã;3;30769,23;30769,23;1,00;61800;3718,48;0,0602;2231,09;2010;4203006;7484,46; GRANIZO
Capão Bonito;SP;Feijão;121;3900;3900;1,00;363000;13411,27;0,0369;9387,88;2010;3510203;55049,61; GRANIZO
Capão Bonito;SP;Feijão;58;3900;3900;1,00;90338,7;6437,4;0,0713;4506,18;2010;3510203;42856,68; GRANIZO
Pilar do Sul;SP;Feijão;146;3900;3900;1,00;439230;16227,62;0,0369;11359,33;2010;3537909;5009,98; GRANIZO
Urubici;SC;Maçã;33;45322,58;45322,58;1,00;788125;57650,79;0,0731;34590,47;2010;4218905;28379,10; GRANIZO
Caçador;SC;Uva;2;25000;25000;1,00;30000;3134,96;0,1045;1880,98;2010;4203006;15000,00; GRANIZO
Caçador;SC;Maçã;1;30000;30000;1,00;51000;3068,64;0,0602;1841,18;2010;4203006;5307,60; GRANIZO
Água Doce;SC;Uva;35;5000;5000;1,00;356000;37201,73;0,1045;22321,04;2010;4200408;11751,71; GRANIZO
Água Doce;SC;Maçã;16;35000;35000;1,00;329175;19806,26;0,0602;11883,76;2010;4200408;16778,99; GRANIZO
Assis;SP;Milho 2ª safra;147;3300;1815;0,55;98241,11;2578,83;0,0263;1805,18;2011;3504008;38479,21; GRANIZO
São Joaquim;SC;Ameixa;12;20000;20000;1,00;253000;41922,1;0,1657;25153,26;2010;4216503;32927,82; GRANIZO
Nova Cantu;PR;Soja;53;2608,8;1565,4;0,60;61551,26;2463,48;0,0400;1231,74;2010;4116802;30928,01; CHUVA EXCESSIVA
Toledo;PR;Soja;45;2802;1821;0,65;60643,64;2826,71;0,0466;1413,35;2010;4127700;4613,38; GRANIZO
Veranópolis;RS;Uva;2;10916,67;10916,67;1,00;21856,8;799,2;0,0366;479,52;2010;4322806;8268,26; GRANIZO
São Miguel Arcanjo;SP;Caqui;4;30000;30000;1,00;69876;7889,01;0,1129;4733,41;2010;3550209;32643,56; GRANIZO
São Miguel Arcanjo;SP;Caqui;7;30000;30000;1,00;273528;30881,31;0,1129;18528,79;2010;3550209;90746,98; GRANIZO
